0,5,0,0,146,0,0
1,6,0,0,215,220,0
2,6,0,0,215,219,0
3,6,0,0,210,216,172
4,6,0,0,216,220,0
5,6,0,0,213,218,0
6,6,0,0,213,222,0
7,6,0,0,209,219,0
8,6,0,0,209,215,0
9,6,0,0,211,219,0
10,6,0,0,211,216,0
11,0,98,138,111,129,130
12,6,0,0,209,218,0
13,6,0,0,215,220,0
14,6,0,0,212,216,0
15,6,0,0,210,219,0
16,6,0,0,214,221,0
17,6,0,0,215,219,0
18,6,0,0,210,217,0
19,6,0,0,213,217,0
20,6,0,0,216,221,0
21,6,0,0,216,223,0
22,6,0,0,212,222,0
23,6,0,0,213,222,0
24,6,0,0,211,219,0
25,6,0,0,212,222,0
26,6,0,0,211,216,0
27,6,0,0,216,222,0
28,6,0,0,212,217,0
29,6,0,0,212,223,0
30,6,0,0,216,222,0
31,6,0,0,210,217,0
32,6,0,0,210,218,0
33,6,0,0,215,218,0
34,6,0,0,213,217,0
35,6,0,0,213,217,0
36,6,0,0,216,223,0
37,6,0,0,215,220,0
38,6,0,0,215,220,0
39,6,0,0,210,220,0
40,6,0,0,215,221,0
41,6,0,0,211,217,0
42,6,0,0,216,221,0
43,6,0,0,211,217,0
44,6,0,0,215,223,0
45,6,0,0,210,219,0
46,6,0,0,216,223,0
47,6,0,0,211,218,0
48,6,0,0,215,223,0
49,6,0,0,214,219,0
50,6,0,0,217,222,0
51,6,0,0,216,222,0
52,6,0,0,211,222,0
53,6,0,0,212,217,0
54,6,0,0,213,223,0
55,6,0,0,212,217,0
56,6,0,0,214,219,0
57,6,0,0,215,218,0
58,6,0,0,214,218,0
59,6,0,0,216,221,0
60,6,0,0,214,218,0
61,6,0,0,213,221,0
62,6,0,0,215,223,0
63,6,0,0,210,217,0
64,6,0,0,212,218,0
65,6,0,0,216,223,0
66,6,0,0,210,218,0
67,6,0,0,217,224,0
68,6,0,0,211,219,0
69,6,0,0,215,221,0
70,6,0,0,216,222,0
71,6,0,0,210,217,0
72,6,0,0,215,223,0
73,6,0,0,211,217,0
74,6,0,0,214,218,0
75,6,0,0,211,219,0
76,6,0,0,211,218,0
77,6,0,0,216,220,0
78,6,0,0,211,219,0
